Topics,Alpha,Eta,Coherence
5,0.31,symmetric,-2.930644705802158
5,0.61,0.01,-2.620575087631272
5,0.61,0.31,-2.7162881082429005
5,0.61,0.61,-5.324625624977733
5,0.61,0.9099999999999999,-5.693823546247859
5,0.61,symmetric,-2.5780341657330768
5,0.9099999999999999,0.01,-2.6602975040208108
5,0.9099999999999999,0.31,-2.5582588994685524
5,0.9099999999999999,0.61,-3.022674107898038
5,0.9099999999999999,0.9099999999999999,-4.83928745021314
5,0.9099999999999999,symmetric,-2.5517361497791478
5,symmetric,0.01,-2.552671748103461
5,symmetric,0.31,-3.2436719685529547
5,symmetric,0.61,-9.74638068749042
5,symmetric,0.9099999999999999,-9.656511582718043
5,symmetric,symmetric,-2.8599711577689755
5,asymmetric,0.01,-4.021870569442785
5,asymmetric,0.31,-7.428170459662951
5,asymmetric,0.61,-7.945028388848678
5,asymmetric,0.9099999999999999,-10.949826288634526
5,asymmetric,symmetric,-4.616283850213224
6,0.01,0.01,-3.247056216625934
6,0.01,0.31,-5.396845779651335
6,0.01,0.61,-12.534416035780573
6,0.01,0.9099999999999999,-13.36936164298798
6,0.01,symmetric,-3.527735364032456
6,0.31,0.01,-3.092294987710996
6,0.31,0.31,-3.8265985622580136
6,0.31,0.61,-9.115461960453356
6,0.31,0.9099999999999999,-12.11712899638735
6,0.31,symmetric,-3.492112478648733
6,0.61,0.01,-2.786410896098132
6,0.61,0.31,-2.710435420757791
6,0.61,0.61,-5.562392473490007
6,0.61,0.9099999999999999,-11.197325593544234
6,0.61,symmetric,-2.92019908358743
6,0.9099999999999999,0.01,-2.802340237583012
6,0.9099999999999999,0.31,-2.6967953657729784
6,0.9099999999999999,0.61,-4.88175484007941
6,0.9099999999999999,0.9099999999999999,-7.333917287569695
6,0.9099999999999999,symmetric,-2.797295524846882
6,symmetric,0.01,-3.0850655790044326
6,symmetric,0.31,-3.983059387721194
6,symmetric,0.61,-9.362373710951301
6,symmetric,0.9099999999999999,-13.174406051893065
6,symmetric,symmetric,-3.526673667889218
6,asymmetric,0.01,-4.06778313032974
6,asymmetric,0.31,-8.83547457043212
6,asymmetric,0.61,-9.558364355096058
6,asymmetric,0.9099999999999999,-10.678260421552437
6,asymmetric,symmetric,-5.029237489967997
7,0.01,0.01,-3.208052104665899
7,0.01,0.31,-4.706694906230131
7,0.01,0.61,-11.493297708819172
7,0.01,0.9099999999999999,-11.540493606205416
7,0.01,symmetric,-3.4089343612142096
7,0.31,0.01,-3.133454465968567
7,0.31,0.31,-4.149033375378344
7,0.31,0.61,-8.77475906510824
7,0.31,0.9099999999999999,-10.676653091572518
7,0.31,symmetric,-3.492098494399108
7,0.61,0.01,-3.040732343722426
7,0.61,0.31,-3.5648957143535682
7,0.61,0.61,-5.730358436829053
7,0.61,0.9099999999999999,-8.222400361375344
7,0.61,symmetric,-3.584082229111257
7,0.9099999999999999,0.01,-2.891865052289851
7,0.9099999999999999,0.31,-3.2194908332197643
7,0.9099999999999999,0.61,-7.295739834594725
7,0.9099999999999999,0.9099999999999999,-8.313508461080215
7,0.9099999999999999,symmetric,-2.897186838978191
7,symmetric,0.01,-2.9910625800568593
7,symmetric,0.31,-3.9795976397383774
7,symmetric,0.61,-7.649092534902254
7,symmetric,0.9099999999999999,-11.084731446456017
7,symmetric,symmetric,-3.1454195070871003
7,asymmetric,0.01,-5.636688246384723
7,asymmetric,0.31,-9.285726377075605
7,asymmetric,0.61,-11.423061154175697
7,asymmetric,0.9099999999999999,-11.708937306872272
7,asymmetric,symmetric,-6.2111721410181735
8,0.01,0.01,-3.677576398004974
8,0.01,0.31,-7.081827604127678
8,0.01,0.61,-13.221499071843184
8,0.01,0.9099999999999999,-11.718937449565225
8,0.01,symmetric,-3.8472035000445066
